https://www.electoralgeography.com/new/ru/countries/r/russia/russia-april-referendum-1993.html

Россия Россия. Апрель Референдум 1993

Автор: Alex Kireev

Данные референдума в формате .xls
Вопросы референдума:

Вопрос 1. «Доверяете ли Вы президенту России Б.Н.Ельцину?»

Вопрос 2. «Одобряете ли Вы социально-экономическую политику, проводимую президентом и правительством России с 1992 г.?»
Вопрос 3. «Считаете ли Вы необходимым проведение досрочных выборов президента России?»
Вопрос 4. «Считаете ли Вы необходимым проведение досрочных выборов народных депутатов России?»
Регион 	Числен-ность избира- телей, тыс, чел, 	Участие, % 	Доля ответивших от действительных бюллетеней, %

1-й вопрос 	2-й вопрос 	3-й вопрос 	4-й вопрос
Да 	Нет 	Да 	Нет 	Да 	Да
Читинская 	814,6 	63,9 	43,3 	53,8 	39 	57,9 	57,9 	58,9
Ярославская 	1104,7 	67 	68,8 	29 	61,3 	36 	47,8 	70,1
Итого по краям и областям 	79390,4 	65,1 	58,4 	39,4 	52,7 	44,8 	50,4 	67,2
Еврейская 	141,4 	58,7 	58,6 	39,1 	52,8 	44,7 	50 	65,4
Агинский Бурятский  	44,4 	74,2 	49,8 	50,1 	42,8 	56,4 	75,5 	79,5
Коми-Пермяцкий  	104,9 	72,9 	62,1 	34,5 	53,3 	42,9 	48,7 	61,4
Корякский  	24,6 	72,6 	67 	29,7 	54,6 	41,8 	45 	72,2
Ненецкий  	33,8 	67,6 	66,3 	31,2 	58,4 	38,1 	43,5 	71
Таймырский  	31,9 	65,4 	76,8 	21,1 	68 	27,9 	36,2 	74,1
Усть-Ордынский Бурятский  	83,9 	75,1 	48,7 	48,6 	43,5 	53,6 	58,5 	61,5
Ханты-Мансийский  	816,4 	53,9 	83,2 	15,1 	73,9 	23,2 	36,4 	78,3
Чукотский  	85,4 	67,4 	74,2 	23,5 	63,5 	33,9 	40,3 	75,6
Ямало-Ненецкий  	299,2 	62,8 	82,8 	15,7 	74 	24,1 	36,4 	78,5
Эвенкийский  	13,8 	63,2 	70,5 	27,3 	62,4 	34,7 	44,5 	71,2
Итого 	1679,8 	60,2 	74,9 	23,2 	66,2 	31,1 	41,7 	74,4
Российская Федерация 	106996,7 	64 	58,7 	39,3 	53 	44,5 	49,5 	67,2
