https://www.electoralgeography.com/new/ru/countries/r/russia/russia-presidential-election-1991.html

Россия Россия. Президентские выборы 1991

Автор: Alex Kireev

Результаты выборов в разрезе ТИК
Регион 	N избира- телей, т.ч. 	Участие, % 	Бакатин 	Ельцин 	Жири- новский 	Макашов 	Рыжков 	Тулеев 	Против всех, % 	Недейств,,  %
Тюменская 	889,2 	72,2 	5,3 	56,3 	9,1 	4,8 	18,3 	3 	1,7 	1,6
Ульяновская 	1021,2 	78,4 	2,8 	52,8 	6,7 	3,2 	23,4 	7,8 	1,5 	1,9
Челябинская 	2643,3 	80,3 	1,7 	77,2 	5,8 	2,7 	8,1 	2 	1,1 	1,3
Читинская 	845,8 	75,3 	4,4 	36,6 	10,7 	4,9 	31,5 	6,6 	2,7 	2,7
Ярославская 	1107,8 	75,2 	4,2 	54,8 	7,2 	4 	18,2 	7,8 	2,3 	1,5
Итого по краям и областям 	78665,3 	76,8 	3,3 	57 	8,3 	3,6 	17 	6,9 	1,9 	2
Еврейская 	146,6 	70,6 	3,7 	42,9 	7,5 	6,7 	29,4 	5,2 	3,1 	1,4
Агинский Бурятский 	45,3 	79,9 	9,6 	17,5 	6,1 	2,9 	47,6 	10,9 	2,1 	3,4
Коми — Пермяцкий 	104,6 	82,9 	5,2 	40,6 	9,1 	7,4 	27,8 	2,4 	3 	4,4
Корякский 	25,8 	80,1 	4,2 	42,6 	10,8 	3 	20,5 	13,1 	3,1 	2,8
Ненецкий 	33,4 	76,5 	8 	46,1 	8,5 	2,4 	26,4 	4,3 	2,8 	1,5
Таймырский 	32,9 	75 	2,6 	58,1 	8,9 	1,7 	13,6 	11,8 	1,7 	1,6
Усть — Ордынский Бурятский 	83,3 	83,7 	3,9 	32,4 	12,9 	2,8 	24,3 	19,2 	2,1 	2,3
Ханты — Мансийский 	782,7 	63 	3,8 	68,7 	9,7 	3,6 	8,1 	3,8 	1,2 	1,2
Чукотский 	99,5 	75,9 	5,2 	57,7 	9,5 	3,1 	12,5 	8,9 	2,1 	1
Эвенкийский 	15,3 	74,3 	2,8 	39,1 	16,3 	1,7 	19,6 	17,5 	1,9 	1,1
Ямало — Ненецкий 	272,9 	69 	3,6 	67,9 	10,5 	2,4 	8,3 	5,2 	1,1 	1,1
Итого 	1642,2 	69,1 	4,2 	58 	9,7 	3,8 	15 	6 	1,7 	1,6
Российская Федерация 	106484,5 	74,7 	3,4 	57,3 	7,8 	3,7 	16,8 	6,8 	1,9 	2,2
