https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D1%81%D0%B5%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5_%D1%81%D1%83%D0%B1%D1%8A%D0%B5%D0%BA%D1%82%D0%BE%D0%B2_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%BE%D0%B9_%D0%A4%D0%B5%D0%B4%D0%B5%D1%80%D0%B0%D1%86%D0%B8%D0%B8

# 	Субъект
РФ 	15.I.
1959
[4] 	15.I.
1970
[5] 	17.I.
1979
[6] 	12.I.
1989
[7] 	9.X.
2002
[8] 	14.X.
2010
[9] 	1.I.
2013
[10] 	1.I.
2014
[11] 	1.I.
2015
[12] 	1.I.
2016
[13] 	1.I.
2017
[14]
47 	Курская область 	1483305 	1473864 	1398889 	1339414 	1235091 	1127081 	1119262 	1118915 	1117378 	1120019 	1122893
48 	Архангельская область без НАО 	1230305 	1362170 	1420068 	1515416 	1294993 	1185536 	1159506 	1148760 	1139950 	1130240 	1121813
48 	Забайкальский край 	1036387 	1144918 	1233435 	1377975 	1155346 	1107107 	1095169 	1090344 	1087452 	1083012 	1078983
49 	Томская область 	746802 	785706 	865934 	1001613 	1046039 	1047394 	1064245 	1070128 	1074453 	1076762 	1078891
50 	Тамбовская область 	1549001 	1511938 	1390048 	1320763 	1178443 	1091994 	1075748 	1068934 	1062421 	1050295 	1040327
51 	Ивановская область 	1322152 	1339110 	1320968 	1317117 	1148329 	1061651 	1048961 	1043130 	1036909 	1029838 	1023170
52 	Астраханская область 	701974 	867483 	915548 	998114 	1005276 	1010073 	1013840 	1016516 	1021287 	1018626 	1018866
53 	Калужская область 	935852 	994876 	1006973 	1066833 	1041641 	1010930 	1005585 	1004544 	1010486 	1009772 	1014570
54 	Калининградская область 	610885 	731936 	806864 	871283 	955281 	941873 	954773 	963128 	968944 	976439 	986261
55 	Республика Бурятия 	673326 	812251 	900812 	1041119 	981238 	972021 	971810 	973860 	978495 	982284 	984134
56 	Республика Саха (Якутия) 	487343 	664123 	838808 	1081408 	949280 	958528 	955580 	954803 	956896 	959689 	962835
57 	Смоленская область 	1142969 	1106066 	1120748 	1158299 	1049574 	985537 	975188 	967896 	964791 	958630 	953201
58 	Кабардино-Балкарская Республика 	420115 	588203 	674605 	759586 	901494 	859939 	858946 	858397 	860709 	862254 	864454
59 	Курганская область 	999170 	1085560 	1080274 	1104872 	1019532 	910807 	885759 	877149 	869814 	861896 	854109
60 	Республика Коми 	815799 	964802 	1118421 	1261024 	1018674 	901189 	880639 	872057 	864424 	856831 	850554
61 	Республика Мордовия 	1001994 	1029562 	990617 	964132 	888766 	834755 	818566 	812156 	808888 	807453 	808541
62 	Амурская область 	717514 	793449 	937389 	1057781 	902844 	830103 	816910 	811274 	809873 	805689 	801752
63 	Мурманская область 	567672 	799527 	965462 	1146757 	892534 	795409 	780401 	771058 	766281 	762173 	757621
64 	Орловская область 	929013 	931028 	892505 	890636 	860262 	786935 	775826 	769980 	765231 	759721 	754816
65 	Республика Северная Осетия — Алания 	450581 	552581 	596921 	634009 	710275 	712980 	706123 	703977 	705270 	703745 	703262
66 	Республика Марий Эл 	647680 	684748 	702744 	749386 	727979 	696459 	690349 	688686 	687435 	685865 	684684
67 	Костромская область 	921945 	870575 	803870 	809882 	736641 	667562 	658906 	656389 	654390 	651450 	648157
68 	Псковская область 	951866 	875293 	850035 	846449 	760810 	673423 	661507 	656561 	651108 	646374 	642164
69 	Республика Карелия 	651346 	713451 	736022 	791317 	716281 	643548 	636932 	634402 	632533 	629875 	627083
70 	Новгородская область 	736529 	721471 	721790 	753054 	694355 	634111 	625855 	622430 	618703 	615692 	612522
71 	Республика Хакасия 	411047 	445824 	500106 	568605 	546072 	532403 	533025 	534079 	535796 	536781 	537668
72 	Ямало-Ненецкий автономный округ 	62334 	79977 	157616 	486164 	507006 	522904 	541612 	539671 	539985 	534104 	536049
73 	Сахалинская область 	649405 	615652 	654915 	709629 	546695 	497973 	493302 	491027 	488391 	487293 	487344
74 	Республика Ингушетия[27] 					467294 	412529 	442255 	453010 	463893 	472776 	480474
75 	Карачаево-Черкесская Республика 	277959 	344651 	368343 	417560 	439470 	477859 	471847 	469837 	469060 	467797 	466432
76 	Республика Адыгея 	284690 	385644 	404504 	432588 	447109 	439996 	444403 	446406 	449171 	451480 	453366
77 	Севастополь[22][28] 	152122 	254935 	333087 	392826 	376200 	378858 	381474 	383907 	398973 	416263 	428753
78 	Республика Тыва 	171928 	230864 	266453 	309129 	305510 	307930 	310460 	311761 	313777 	315637 	318550
79 	Камчатский край 	220753 	287612 	378491 	466096 	358801 	322079 	320549 	319864 	317269 	316116 	314729
80 	Республика Калмыкия 	184857 	267993 	293528 	322589 	292410 	289481 	284140 	282021 	280564 	278733 	277803
81 	Республика Алтай 	157161 	168261 	171835 	191649 	202947 	206168 	210344 	211645 	213703 	215161 	217007
82 	Еврейская автономная область 	162856 	172449 	190219 	215937 	190915 	176558 	172671 	170377 	168368 	166120 	164217
83 	Магаданская область[29] 	188889 	251297 	332845 	385340 	182726 	156996 	152358 	150312 	148071 	146345 	145570
84 	Чукотский автономный округ 	46689 	101184 	132859 	157528 	53824 	50526 	50780 	50555 	50540 	50157 	49822
85 	Ненецкий автономный округ 	36881 	39119 	47001 	54840 	41546 	42090 	42789 	43025 	43373 	43838 	43937
	РФ, всего[30] 	117534315 	130079210 	137550949 	147400537 	145166731 	142856536 	143347059 	143666931 	146267288 	146544710 	146804372
